year,title,category,nominee,artist,winner,normalized_category
2019,62nd Annual GRAMMY Awards  (2019),Record Of The Year,Bad Guy,Billie Eilish,True,Record Of The Year
2019,62nd Annual GRAMMY Awards  (2019),Album Of The Year,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,True,Album Of The Year
2019,62nd Annual GRAMMY Awards  (2019),Song Of The Year,Bad Guy,Billie Eilish,True,Song Of The Year
2019,62nd Annual GRAMMY Awards  (2019),Best New Artist,Billie Eilish,Billie Eilish,True,Best New Artist
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Solo Performance,Truth Hurts,Lizzo,True,Pop Solo Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,True,Pop Duo/Group Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional Pop Vocal Album,Look Now,Elvis Costello & The Imposters,True,Traditional Pop Vocal Album
2019,62nd Annual GRAMMY Awards  (2019),Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,True,Pop Vocal Album
2019,62nd Annual GRAMMY Awards  (2019),Best Dance Recording,Got To Keep On,The Chemical Brothers,True,Best Dance Recording
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,No Geography,The Chemical Brothers,True,Dance/Electronic Album
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,True,Contemporary Instrumental Album
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,This Land,Gary Clark Jr.,True,Rock Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,7empest,Tool,True,Metal Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Song,This Land,Gary Clark Jr.,True,Best Rock Song
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Album,Social Cues,Cage The Elephant,True,Best Rock Album
2019,62nd Annual GRAMMY Awards  (2019),Best Alternative Music Album,Father Of The Bride,Vampire Weekend,True,Alternative Music Album
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,True,R&B Performance
2019,62nd Annual GRAMMY Awards  (2019),Best Traditional R&B Performance,Jerome,Lizzo,True,Traditional R&B Performance
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Song,Say So,PJ Morton Featuring JoJo,True,Best R&B Song
2019,62nd Annual GRAMMY Awards  (2019),Best Urban Contemporary Album,Cuz I Love You (Deluxe),Lizzo,True,Best Urban Contemporary Album
2019,62nd Annual GRAMMY Awards  (2019),Best R&B Album,Ventura,Anderson .Paak,True,Best R&B Album
2019,62nd Annual GRAMMY Awards  (2019),Best Rap Performance,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,True,Rap Performance
