nominee,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Bad Guy,0.6986,0.6329,0.1706,0.0383,0.1547,-22.596,0.2376,103.9933,0.3587
Bad Guy,0.6986,0.6329,0.1706,0.0383,0.1547,-22.596,0.2376,103.9933,0.3587
This Is America,0.9028,0.5238,0.2993,0.0077,0.2014,-13.8596,0.1889,91.1617,0.6618
This Is America,0.9028,0.5238,0.2993,0.0077,0.2014,-13.8596,0.1889,91.1617,0.6618
24K Magic,0.663,0.4509,0.3471,0.0081,0.1498,-11.0785,0.0515,91.8994,0.2123
That's What I Like,0.1013,0.8271,0.647,0.0,0.1164,-7.1543,0.1333,114.6668,0.6576
Hello,0.5035,0.227,0.2031,0.055,0.1949,-25.8341,0.0906,70.9526,0.0736
Hello,0.5035,0.227,0.2031,0.055,0.1949,-25.8341,0.0906,70.9526,0.0736
Uptown Funk,0.23,0.8726,0.4797,0.0087,0.147,-9.415,0.2145,99.1446,0.6822
Thinking Out Loud,0.8206,0.5561,0.1424,0.0145,0.1234,-17.8381,0.0892,94.9405,0.3231
Please Read The Letter,0.3625,0.676,0.2058,0.7378,0.1119,-16.3177,0.0715,115.0234,0.1675
Viva La Vida,0.7059,0.7034,0.2948,0.061,0.1159,-14.5929,0.051,117.4049,0.6231
Rehab,0.3366,0.7223,0.7248,0.0,0.1492,-6.585,0.1366,109.6378,0.6785
Rehab,0.3366,0.7223,0.7248,0.0,0.1492,-6.585,0.1366,109.6378,0.6785
Not Ready To Make Nice,0.8248,0.5729,0.1163,0.0168,0.1041,-13.9919,0.0435,113.1628,0.2086
Not Ready To Make Nice,0.8248,0.5729,0.1163,0.0168,0.1041,-13.9919,0.0435,113.1628,0.2086
Boulevard Of Broken Dreams,0.1047,0.2894,0.5771,0.833,0.2077,-14.7226,0.0811,102.3353,0.0953
Sometimes You Can't Make It On Your Own,0.6509,0.5019,0.1626,0.2018,0.1312,-20.7336,0.0534,102.1549,0.2755
Here We Go Again,0.4346,0.4605,0.3798,0.0211,0.1107,-12.0926,0.0439,98.7075,0.1453
Daughters,0.8409,0.5785,0.2219,0.0724,0.1152,-13.1449,0.0484,112.8119,0.2762
Sunny Came Home,0.4098,0.6066,0.4097,0.8607,0.115,-12.9391,0.0472,152.0983,0.3618
Change The World,0.4748,0.6185,0.2325,0.3054,0.1134,-15.394,0.0507,135.7831,0.4441
Change The World,0.4748,0.6185,0.2325,0.3054,0.1134,-15.394,0.0507,135.7831,0.4441
Kiss From A Rose,0.7715,0.4789,0.1768,0.0329,0.1267,-17.2651,0.0426,110.7994,0.3157
Kiss From A Rose,0.7715,0.4789,0.1768,0.0329,0.1267,-17.2651,0.0426,110.7994,0.3157
All I Wanna Do,0.4004,0.7642,0.5909,0.0428,0.1157,-6.9797,0.0548,105.9007,0.5784
Streets Of Philadelphia,0.2971,0.7061,0.4139,0.8519,0.1205,-14.6638,0.0528,94.6221,0.2627
I Will Always Love You,0.9017,0.388,0.0363,0.014,0.1436,-18.7667,0.0995,85.3766,0.1923
A Whole New World (Aladdin's Theme),0.8272,0.4586,0.0495,0.0175,0.1012,-19.8474,0.0383,88.0301,0.1787
Tears In Heaven,0.9166,0.5803,0.1355,0.7439,0.112,-17.952,0.0487,98.415,0.3886
What's Love Got To Do With It,0.2219,0.7973,0.4123,0.0224,0.1094,-11.524,0.0986,103.2091,0.6673
What's Love Got To Do With It,0.2219,0.7973,0.4123,0.0224,0.1094,-11.524,0.0986,103.2091,0.6673
Beat It,0.3607,0.3343,0.3544,0.8414,0.2342,-21.6159,0.108,80.1986,0.0482
Every Breath You Take,0.7926,0.8643,0.4781,0.5845,0.0979,-10.1687,0.0791,106.832,0.6652
Rosanna,0.1373,0.6457,0.4099,0.0497,0.1349,-13.9192,0.045,97.7155,0.4872
Always On My Mind,0.4231,0.3705,0.443,0.0325,0.2226,-17.6738,0.1611,94.5196,0.1932
Bette Davis Eyes,0.175,0.6949,0.4527,0.0727,0.1357,-10.3213,0.0465,106.7843,0.4156
Bette Davis Eyes,0.175,0.6949,0.4527,0.0727,0.1357,-10.3213,0.0465,106.7843,0.4156
Sailing,0.7643,0.3267,0.0719,0.8066,0.1085,-25.5029,0.0411,110.3665,0.1192
Sailing,0.7643,0.3267,0.0719,0.8066,0.1085,-25.5029,0.0411,110.3665,0.1192
The First Time Ever I Saw Your Face,0.9507,0.3681,0.1513,0.0073,0.1197,-15.0198,0.0293,127.5984,0.1358
It's Too Late,0.9107,0.5524,0.1142,0.0336,0.1081,-18.0248,0.0455,106.4349,0.3969
You've Got A Friend,0.9057,0.5151,0.0642,0.0485,0.1098,-18.8621,0.0549,95.9818,0.2314
